BIBLIOGRAFIA INGENIERIA CIVIL INDUSTRIAL						
						
						
						
CARRERA:	INGENIERIA CIVIL INDUSTRIAL					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 	Prestamos 0
ESTADISTICA II	202	· Mendenhall, William; Wackerly, Dennis; Acheaffer, Richard. Estadística Matemática con Aplicaciones. Segunda Edición. Grupo Editorial Iberoamericana México. 1994. 519.5 M537.	NO INDICA	1	2587	0
ESTADISTICA II	202	· Miller, Irwin; Freund, John E.; Johnson, Richard A. Probabilidad y Estadística para Ingenieros. Quinta Edición. Prentice Hall Hispanoamericana México. 1997. 519.5 M647.	NO INDICA	6	2416	
ESTADISTICA II	202	· Walpole, Ronald E. y Myers, Raymond H. Probabilidad y Estadística. Mac Graw Hill. 1992. 519.2 W219	NO INDICA	8	2207-19437	
ESTADISTICA II	202	· Meyer, Paul. Probabilidad y Aplicaciones Estadísticas. Fondo Educativo Interamericano México. 1992. 519.5 M613p.	NO INDICA	5	2561	
ESTADISTICA II	202	· Spiegel, Murray. Estadística. Segunda Edición. Mc Graw Hill Madrid. 1997. 519.5 S755e.	NO INDICA	1	9338	0
ESTADISTICA II	202	· Montgomery, Douglas C. Diseño y Análisis de Experimentos. Grupo Editorial Iberoamericana México. 1991. 519.5 M787.	NO INDICA	1	2906	
FISICO QUIMICA I	201	2. Gaskell David R., Introduction to Metallurgical Thermodynamics, McGraw-Hill, 1973.	NO INDICA	16	3050	
FISICO QUIMICA I	201	3. Gurry R. y Darken L., Physical Chemistry of Metals, McGraw-Hill, N.Y., 1953.	NO INDICA	2	13942	0
FISICO QUIMICA I	201	4. Castellan Gilbert, Físico-Química: Problemas Resueltos, Fondo Educativo Interamericano, 1982.	NO INDICA	13	3017	
FISICO QUIMICA I	201	5. Atkins P., Físico-Química, FEI, Mexico, 1985.	NO INDICA	5	2965	
FISICO QUIMICA I	201	6. Zemansky Mark, Fisico-Química Editorial La Colina, Madrid, 1984.	NO INDICA	0		
FISICO QUIMICA I	201	7. Upadhyaya G. S., Problemas de Termodinámica y Cinética en Metalurgia, Genrinis, Buenos Aires, 1979.	NO INDICA	5	190	
FISICO QUIMICA II	202	2. GaskelL David R., Introduction to Metallurgical Thermodynamics, McGraw-Hill, 1973.	NO INDICA	16	3050	
FISICO QUIMICA II	202	3. Gurry R. y Darken L., Physical Chemistry of Metals, McGraw-Hill, N.Y., 1953.	NO INDICA	2	13942	0
FISICO QUIMICA II	202	4. Castellan Gilbert, Físico-Química: Problemas Resueltos, Fondo Educativo Interamericano, 1982.	NO INDICA	13	3017	
FISICO QUIMICA II	202	5. Atkins P., Físico-Química, FEI, Mexico, 1985.	NO INDICA	5	2965	
FISICO QUIMICA II	202	6. Upadhyaya G. S., Problemas de Termodinámica y Cinética en Metalurgia, Genrinis, Buenos Aires, 1979.	NO INDICA	5	190	
FISICO QUIMICA II	202	7. LevenspieL Octave, Ingeniería de las Reacciones Químicas, Reverte Ediciones, México, 1998.	NO INDICA	3	7559	
INTRODUCCIÓN A LA ECONOMÍA	202	- Pilar Alonso y Francisco Mochon(1994): Economía básica.Chile : una realidad. Primera Edición. Santiago, Chile. McGraw-Hill. ISBN 956-278-001-5. Ubicación Bilioteca 330.1 A454	NO INDICA	4	2121	0
INTRODUCCIÓN A LA ECONOMÍA	202	- Manuel J. y Amelia Perez(2004): Introducción a la Economía. Madrid, Pearson Educación. ISBN 84-205-3575-3	NO INDICA	11	18156	
INTRODUCCIÓN A LA ECONOMÍA	202	- José Luis Martín S.(2004): Principios de Economía. Madrid, Pearson Educación. ISBN 84-205-3909-0	NO INDICA	12	18917	
INTRODUCCIÓN A LA ECONOMÍA	202	- Paul Samuelson y Williams Nordhaus (1987): Economía. Madrid,McGraw-Hill. Ubicación Bilioteca 330 S193e	NO INDICA	17	1445-14434	
INTRODUCCIÓN A LA PROGRAMACION	202	JOYANES A., Luis, “Fundamentos de Programación. Algoritmos y Estructura de Datos”, 2ª Edición, McGraw-Hill / interamericana de España, Madrid, 1996.	NO INDICA	61	18208-11578	
INTRODUCCIÓN A LA PROGRAMACION	202	2. JOYANES A., Luis, “Problemas de Metodología de la Programación”, 1ª Edición, McGraw-Hill / interamericana de España, Madrid, 1990.	NO INDICA	59	7849	
FISICA III	201	FISICA. R. Serway-J. Faughn 5° Edición. 2001. Pearson Educación.	NO INDICA	231	18152	
FISICA III	201	FISICA M.Alonso E.Finn 2000 Pearson Educación.	NO INDICA	120	2374	
FISICA III	201	CONCEPTOS DE FISICA  P. Hewitt Limusa.	NO INDICA	7	11927	
FISICA III	201	FISICA D.Halliday R.Resnick–K.S.Krane 1999. CECSA.	NO INDICA	275	15076-18282-2581-2408	
FISICA III	201	FISICA Universitaria. Vols I y II. F. Sears M. Zemansky-H. Young-R. Freedman 1999 Pearson Educación.	NO INDICA	105	22557-26672	
FISICA IV	202	FISICA. R. Serway-J. Faughn 5° Edición. 2001. Pearson Educación.	NO INDICA	231	18152	
FISICA IV	202	FISICA M.Alonso E.Finn 2000 Pearson Educación.	NO INDICA	120	2374	
FISICA IV	202	OPTICA  E. Hecht Addison Wesley	NO INDICA	300	49	
FISICA IV	202	FISICA Universitaria. Vols I y II. F. Sears M. Zemansky-H. Young-R. Freedman 1999 Pearson Educación.	NO INDICA	105	22557-26672	
FISICA IV	202	FISICA CUANTICA R. Eisberg – R. Resnick Limusa	NO INDICA	0		
INGENIERIA DE MATERIALES I	201	1. Askeland Donald R, La ciencia e ingeniería de los materiales. University of Missouri-Rolla. Editorial Chapman and Hall 1995.	NO INDICA	37	662-18280	
INGENIERIA DE MATERIALES I	201	2. Avner Sidney H. Introducción a la metalurgia física. Editorial Madrid Del Castillo. 2ª edición.1983.	NO INDICA	8	270	
INGENIERIA DE MATERIALES II	202	1. Askeland Donald R, La ciencia e ingeniería de los materiales. University of Missouri-Rolla. Editorial Chapman and may, 1995.	NO INDICA	36	662-18280	
INGENIERIA DE MATERIALES II	202	2. Nash, William A. Resistencia de materiales.. México, McGraw-Hill,1991.	NO INDICA	26	15343-108	
ADMINISTRACION DE EMPRESAS	301	- Konntz, Harol, Elementos de la Administración, Editorial McGraw-Hill, año 1993. Biblioteca Universidad 658.4 K82e	NO INDICA	13	1274	
ADMINISTRACION DE EMPRESAS	301	- Certo, Samuel, Administración Moderna, Editorial Prentice Hall, año 2001.No se encuentra en biblioteca. Bibliografía complementaria	NO INDICA	0		
Computación para Industrias I	302	· Tanenbaum, Andrew. Redes de Computadores. Editorial Prentice Hall. Tercera Edición. 1997	NO INDICA	11	9882	0
Computación para Industrias I	302	· Tanenbaum, Andrew. Sistemas Operativos Modernos. Editorial Prentice Hall. 1992.	NO INDICA	1	6450	0
Computación para Industrias I	302	· Lopez, Antonio. Enciclopedia de informática y computación [Conjunto]. 1997.	NO INDICA	3	12695-12687	
Computación para Industrias I	302	· Amor, Daniel. E-Business. Prentice Hall. 2000.	NO INDICA	0		
CONTABILIDAD GENERAL	302	.- Horngren/Harrison/Robinson : “Contabilidad”	NO INDICA	23	69-22200-24722	
CONTABILIDAD GENERAL	302	2.- Bosch B., Julio: “Contabilidad”	NO INDICA	10	54	
CONTABILIDAD GENERAL	302	3.- Horngren, Charles: “Contabilidad de Costos: un enfoque de gerencia”	NO INDICA	2	81	
CONTABILIDAD GENERAL	302	4.- Vargas V., Luis: “Contabilidad de Costos	NO INDICA	13	11471	
CONTABILIDAD GENERAL	302	1.- Fred Weston, Eugene F. Brigham: Fundamentos de administración Financiera, Edit. Mc Graw Hill, 1996 Ubicación en Biblioteca Central 658.15 w535	NO INDICA	1	1151	0
CONTABILIDAD GENERAL	302	5.- Van Horne, James: Administración Financiera. Edit. Pearson 1997 Ubicación en Biblioteca Central 658.15 v217a	NO INDICA	3	10874-2180	
CONTABILIDAD GENERAL	302	6.- Brealey, Richard : Fundamentos de Financiación Empresarial. Edit. Mc Graw Hill, 1996. Ubicación en Biblioteca Central 658.15b828	NO INDICA	3	744	
CONTABILIDAD GENERAL	302	7.- Schall, Lawrence, “Administración financiera“, Editorial McGraw-Hill,1986, Ubicación en Biblioteca Central 658.15 S298	NO INDICA	2	2172	0
ECUACIONES DIFERENCIALES	301	· Edwards – Penney. Ecuaciones Diferenciales Elementales con Aplicaciones. 2º Edición-2001. Pearson Educations.	NO INDICA	58	8640	
ECUACIONES DIFERENCIALES	301	· Simmons, George. Ecuaciones Diferenciales con Aplicaciones y Notas Históricas. 2º Edición 1993. Mc Graw Hill. 515.35 S592.	NO INDICA	18	2616	
ECUACIONES DIFERENCIALES	301	· S.L. Campbell – R. Haberman. Introducción a las Ecuaciones Diferenciales con Problemas con Valor de Frontera. Mac Graw –Hill.	NO INDICA	1	11289	0
ECUACIONES DIFERENCIALES	301	· Dennis, G. Zill. Ecuaciones Diferenciales con Aplicaciones. Grupo Editorial Iberoamérica. 1988. 515.35 Z69.	NO INDICA	8	2728	
ECUACIONES DIFERENCIALES	301	· Serie Schaum. Ecuaciones Diferenciales. Mac Graw Hill. 1982. 515.35 A985.	NO INDICA	42	2542	
ECUACIONES DIFERENCIALES	301	· D. Kreider, R. Kuller y D. Ostrerg. Ecuaciones Diferenciales. Mac Graw Hill. 1973. 515.35 K92.	NO INDICA	7	14829	
Inglés I	301	Robert O`Neill, (1997). English Works 1- Students' book. Editorial Longman. Séptima edición.	NO INDICA	2	23730	0
Inglés I	301	- Sindermann, Gerda y Ana María Harvey. (1998) English for Business and Economics Editorial Gestión. Cuarta edición.	NO INDICA	0		
Inglés II	302	Robert O`Neill, (1997). English Works 1- Students' book. Editorial Longman. Séptima edición.	NO INDICA	2	23730	0
Inglés II	302	-Robert O`Neill, (1997). English Works 1- Workbook. Editorial Longman. Séptima edición.	NO INDICA	0		
Inglés II	302	-Sindermann, Gerda y Ana María Harvey. (1998) English for Business and Economics Editorial Gestión. Cuarta edición.	NO INDICA	0		
INVESTIGACION OPERATIVA	301	· Hamdy A. Taha. Investigación de Operaciones Una Introducción. Pearson Prentice Hall.	NO INDICA	2	11377	
INVESTIGACION OPERATIVA	301	· Wayne L. Winston. Investigación de Operaciones Aplicaciones y Algoritmos. Iberoamérica.	NO INDICA	0		
INVESTIGACION OPERATIVA	301	· David R., Anderson – Dennis J., Sweeney – Thomas A., Williams. Introducción a los Modelos Cuantitativos para Administración. Iberoamérica.	NO INDICA	0		
INVESTIGACION OPERATIVA	301	· Hillier, Frederick S.; Lieberman, Gerald J. Introducción a la Investigación de Operaciones. Cuarta Edición. Mc Graw Hill México. 1997. 658.4034 H652op.	NO INDICA	5	10110	
