id	internalId	name	year	edition	obligatory	copies
374	0	Microbiología Médica	2017	0	1	15
375	0	Medical Microbiology	2015	0	1	0
376	0	Cellular and Molecular Immunology	2014	0	0	0
377	0	Inmunología Celular y Molecular	2015	0	0	15
378	0	Microbiology with Disease by Body Sistem	2015	0	0	0
379	0	Mim's Medical Microbiology	2008	0	0	0
380	0	Mim's Microbiología Médica	2014	0	0	0
381	0	Medicina Basada en la Evidencia	2015	0	1	5
382	0	Epidemiología	2014	0	1	14
383	0	Epidemiología Clínica: Investigación Clínica Aplicada	2015	0	1	7
384	0	Making Sense of Critical Appraisal	2002	0	0	0
385	0	Epidemiología Aplicada. Ariel Ciencias Médicas	2008	0	0	0
386	0	Epidemiología Clínica	2016	0	0	8
387	0	Cómo leer un Artículo Científico: Las Bases de la Medicina Basada en la Evidencia. DRK	2015	0	0	0
388	0	Diseño de Investigaciones Clínicas	2014	0	0	2
389	0	Introduction to Epidemiology. Jones & Barlett Learning	2017	0	0	0
390	0	Bandolier's Little Book of Making Sense of the Medical Evidence	2006	0	0	0
391	0	Epidemiology: An Introduction	2012	0	0	0
392	0	Medicina Basada en la Evidencia (inglés)	2019	0	0	5
393	0	Epidemiology: Beyond the Basics. Jones & Bartlett Learning	2014	0	0	0
394	0	Exercises in Epidemiology: Applying Principles and Methods	2017	0	0	0
395	0	Medical Sociology: An Introduction	2009	0	1	0
396	0	The New Blackwell Companion to Medical Sociology	2010	0	1	0
397	0	Key Concept in Medical Sociology	2004	0	1	0
398	0	On the Medicalization of Medical Anthropology. Medical Anthropology Quaterly 13(2), 135-140	1999	0	0	0
399	0	El Conocimiento de la Vida	1976	0	0	0
400	0	Lo Normal y lo Patológico	1984	0	0	0
401	0	Teoría Feminista y Sociología Médica: Bases para una Discusión	1993	0	0	0
402	0	The Medicalization of Society. On the Transformation of Human Conditions into Treatable Disorders	2007	0	0	0
403	0	Las Reglas del Método Sociológico	1986	0	0	0
404	0	La Importancia del Estudio de la Sociología Médica. Un Texto del Siglo XIX	1994	0	0	0
405	0	El Nacimiento de la Clínica: Una Arqueología de la Mirada Médica	2013	0	0	5
406	0	El Nacimiento de la Biopolítica	2007	0	0	0
407	0	Sociología y Salud en Chile. Pasado y Presente. Rev. Salud Pública, Vol, 18(3), 290-291	2014	0	0	0
